ImageId,Label
1,8
2,9
3,2
4,1
5,3
6,5
7,5
8,0
9,6
10,2
11,6
12,9
13,2
14,8
15,8
16,7
17,7
18,7
19,2
20,7
21,7
22,0
23,3
24,1
25,7
26,6
27,9
28,4
29,4
30,3
31,4
32,1
33,6
34,6
35,4
36,4
37,7
38,0
39,1
40,0
41,5
42,3
43,6
44,7
45,2
46,0
47,9
48,3
49,3
50,1
51,2
52,7
53,2
54,8
55,3
56,8
57,5
58,0
59,8
60,2
61,5
62,8
63,5
64,0
65,0
66,4
67,4
68,6
69,9
70,5
71,3
72,8
73,1
74,5
75,5
76,2
77,0
78,8
79,8
80,4
81,8
82,5
83,4
84,3
85,8
86,2
87,4
88,9
89,2
90,1
91,2
92,7
93,6
94,0
95,0
96,9
97,3
98,9
99,7
100,9
101,3
102,1
103,9
104,8
105,9
106,3
107,6
108,9
109,4
110,3
111,3
112,2
113,2
114,7
115,0
116,8
117,7
118,6
119,9
120,3
121,3
122,2
123,4
124,7
125,1
126,5
127,0
128,2
129,2
130,9
131,1
132,1
133,6
134,0
135,6
136,0
137,0
138,9
139,9
140,9
141,2
142,3
143,3
144,4
145,8
146,4
147,3
148,9
149,8
150,3
151,1
152,3
153,8
154,6
155,2
156,8
157,9
158,7
159,1
160,5
161,0
162,7
163,3
164,7
165,3
166,4
167,3
168,7
169,6
170,5
171,7
172,3
173,9
174,6
175,9
176,3
177,7
178,1
179,1
180,4
181,4
182,1
183,0
184,0
185,1
186,0
187,7
188,0
189,7
190,9
191,5
192,3
193,7
194,6
195,7
196,8
197,2
198,7
199,9
200,2
201,6
202,6
203,4
204,9
205,6
206,1
207,5
208,7
209,1
210,4
211,2
212,7
213,9
214,2
215,8
216,8
217,1
218,5
219,9
220,3
221,1
222,6
223,0
224,1
225,4
226,4
227,8
228,4
229,9
230,5
231,5
232,4
233,2
234,4
235,5
236,1
237,8
238,5
239,4
240,8
241,9
242,4
243,9
244,8
245,8
246,4
247,4
248,0
249,8
250,7
251,5
252,9
253,1
254,4
255,3
256,1
257,2
258,2
259,9
260,5
261,4
262,6
263,4
264,2
265,9
266,6
267,8
268,1
269,0
270,0
271,0
272,7
273,4
274,9
275,3
276,5
277,0
278,6
279,9
280,8
281,0
282,8
283,6
284,9
285,1
286,6
287,2
288,3
289,7
290,2
291,6
292,8
293,0
294,0
295,3
296,8
297,8
298,1
299,7
300,8
301,0
302,0
303,4
304,7
305,3
306,2
307,0
308,9
309,6
310,6
311,1
312,1
313,7
314,7
315,4
316,6
317,7
318,8
319,3
320,4
321,7
322,6
323,8
324,0
325,5
326,9
327,4
328,8
329,2
330,2
331,9
332,2
333,1
334,7
335,5
336,2
337,6
338,2
339,7
340,0
341,5
342,6
343,6
344,7
345,3
346,6
347,5
348,3
349,7
350,3
351,1
352,0
353,6
354,2
355,7
356,7
357,4
358,0
359,1
360,7
361,1
362,6
363,9
364,3
365,2
366,0
367,7
368,6
369,5
370,3
371,3
372,1
373,4
374,8
375,4
376,6
377,3
378,1
379,5
380,4
381,5
382,4
383,1
384,4
385,8
386,2
387,9
388,5
389,2
390,6
391,4
392,4
393,0
394,0
395,1
396,1
397,3
398,8
399,1
400,6
401,3
402,4
403,8
404,8
405,8
406,4
407,2
408,1
409,5
410,1
411,4
412,3
413,5
414,3
415,8
416,2
417,0
418,9
419,8
420,9
421,6
422,9
423,1
424,1
425,6
426,5
427,4
428,4
429,9
430,8
431,0
432,2
433,7
434,2
435,0
436,3
437,9
438,6
439,7
440,8
441,3
442,8
443,6
444,4
445,2
446,3
447,8
448,5
449,0
450,1
451,4
452,9
453,6
454,9
455,3
456,0
457,0
458,0
459,7
460,0
461,4
462,9
463,2
464,1
465,8
466,9
467,4
468,4
469,8
470,7
471,8
472,1
473,9
474,3
475,9
476,2
477,8
478,9
479,7
480,9
481,6
482,4
483,2
484,7
485,1
486,7
487,0
488,2
489,8
490,7
491,1
492,4
493,0
494,2
495,8
496,9
497,1
498,0
499,4
500,9
501,8
502,4
503,9
504,3
505,0
506,2
507,3
508,8
509,1
510,7
511,2
512,5
513,6
514,0
515,0
516,6
517,8
518,9
519,1
520,3
521,0
522,5
523,1
524,2
525,1
526,5
527,4
528,5
529,2
530,7
531,7
532,2
533,5
534,2
535,6
536,2
537,4
538,5
539,9
540,3
541,5
542,1
543,8
544,5
545,3
546,3
547,2
548,3
549,8
550,6
551,4
552,5
553,8
554,0
555,4
556,9
557,7
558,4
559,1
560,7
561,8
562,7
563,1
564,6
565,3
566,4
567,7
568,7
569,1
570,3
571,4
572,7
573,5
574,6
575,3
576,3
577,7
578,7
579,8
580,3
581,8
582,7
583,0
584,6
585,4
586,7
587,3
588,9
589,7
590,9
591,9
592,0
593,3
594,5
595,5
596,0
597,3
598,8
599,5
600,2
601,1
602,5
603,1
604,5
605,5
606,9
607,1
608,5
609,5
610,2
611,8
612,6
613,4
614,4
615,0
616,0
617,7
618,3
619,5
620,5
621,4
622,3
623,8
624,0
625,2
626,8
627,0
628,1
629,0
630,0
631,7
632,3
633,4
634,4
635,6
636,2
637,9
638,7
639,1
640,2
641,5
642,5
643,0
644,3
645,4
646,3
647,8
648,8
649,8
650,7
651,7
652,8
653,0
654,1
655,8
656,1
657,7
658,4
659,0
660,1
661,0
662,3
663,0
664,8
665,8
666,3
667,6
668,2
669,7
670,8
671,4
672,8
673,2
674,8
675,6
676,0
677,3
678,8
679,0
680,5
681,4
682,3
683,8
684,5
685,8
686,1
687,2
688,1
689,3
690,0
691,1
692,8
693,6
694,9
695,3
696,5
697,1
698,3
699,7
700,3
701,2
702,8
703,2
704,3
705,9
706,0
707,8
708,3
709,7
710,1
711,0
712,8
713,7
714,9
715,2
716,8
717,9
718,1
719,6
720,9
721,5
722,6
723,2
724,7
725,0
726,8
727,0
728,2
729,2
730,2
731,1
732,3
733,9
734,3
735,2
736,5
737,2
738,1
739,4
740,9
741,8
742,1
743,8
744,1
745,1
746,6
747,9
748,3
749,6
750,0
751,8
752,2
753,8
754,2
755,6
756,8
757,7
758,8
759,0
760,0
761,3
762,6
763,7
764,4
765,2
766,3
767,2
768,7
769,9
770,4
771,1
772,7
773,0
774,0
775,7
776,8
777,0
778,0
779,6
780,8
781,9
782,6
783,4
784,1
785,9
786,2
787,3
788,7
789,4
790,7
791,3
792,5
793,1
794,6
795,4
796,1
797,9
798,3
799,9
800,0
801,5
802,2
803,1
804,0
805,4
806,0
807,4
808,8
809,6
810,4
811,1
812,5
813,5
814,2
815,1
816,4
817,8
818,4
819,6
820,2
821,2
822,6
823,6
824,3
825,5
826,5
827,0
828,2
829,4
830,4
831,5
832,4
833,4
834,8
835,0
836,3
837,5
838,9
839,2
840,2
841,8
842,3
843,2
844,3
845,1
846,9
847,4
848,3
849,1
850,8
851,8
852,6
853,6
854,3
855,6
856,5
857,7
858,3
859,9
860,2
861,7
862,8
863,0
864,5
865,9
866,7
867,3
868,9
869,6
870,1
871,6
872,4
873,6
874,7
875,8
876,7
877,8
878,1
879,1
880,0
881,7
882,4
883,4
884,3
885,1
886,1
887,9
888,1
889,8
890,8
891,2
892,4
893,8
894,9
895,5
896,6
897,8
898,3
899,8
900,7
901,0
902,5
903,3
904,3
905,0
906,6
907,4
908,4
909,5
910,4
911,8
912,3
913,7
914,9
915,5
916,3
917,7
918,0
919,4
920,7
921,7
922,1
923,1
924,1
925,7
926,4
927,9
928,5
929,3
930,5
931,6
932,1
933,9
934,5
935,3
936,2
937,5
938,6
939,8
940,5
941,1
942,6
943,1
944,8
945,0
946,6
947,6
948,2
949,8
950,5
951,7
952,7
953,0
954,7
955,6
956,3
957,3
958,5
959,6
960,7
961,2
962,6
963,7
964,9
965,1
966,4
967,1
968,5
969,1
970,0
971,4
972,2
973,3
974,2
975,6
976,8
977,2
978,5
979,4
980,9
981,3
982,4
983,4
984,7
985,8
986,7
987,3
988,8
989,3
990,6
991,0
992,1
993,0
994,1
995,2
996,1
997,0
998,8
999,6
1000,2
1001,5
1002,0
1003,8
1004,8
1005,3
1006,3
1007,6
1008,6
1009,0
1010,8
1011,1
1012,8
1013,6
1014,2
1015,7
1016,4
1017,4
1018,7
1019,3
1020,3
1021,1
1022,6
1023,5
1024,3
1025,1
1026,7
1027,6
1028,8
1029,8
1030,5
1031,1
1032,1
1033,4
1034,3
1035,3
1036,2
1037,2
1038,8
1039,6
1040,4
1041,5
1042,1
1043,3
1044,0
1045,7
1046,2
1047,3
1048,5
1049,0
1050,1
1051,9
1052,3
1053,2
1054,0
1055,8
1056,2
1057,3
1058,0
1059,0
1060,0
1061,0
1062,4
1063,1
1064,2
1065,3
1066,1
1067,1
1068,8
1069,0
1070,6
1071,2
1072,3
1073,2
1074,0
1075,3
1076,6
1077,5
1078,7
1079,3
1080,9
1081,4
1082,1
1083,1
1084,6
1085,7
1086,8
1087,8
1088,6
1089,2
1090,2
1091,5
1092,2
1093,4
1094,4
1095,3
1096,6
1097,7
1098,1
1099,4
1100,6
1101,4
1102,3
1103,9
1104,8
1105,3
1106,9
1107,3
1108,2
1109,6
1110,7
1111,5
1112,7
